,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"08/07/2025","POD-251130","RIOS Intelligent Machines, Inc.","Neousys Technology Incorp.","Cbl-MHF4-SMAF-WP-40CM  Cable with IPEX 4 connector and waterproof SMA connector.","09/10/2025",3,0,3,18.00,18.00
"Total Cbl-MHF4-SMAF-WP-40CM",,,,,,,3,0,3,18.00,18.00
"Cbl-S68M-S68M-100CM",,,,,,,,,,,
,"07/25/2025","POD-251061","Cognex Corporation","Neousys Technology Incorp.","Cbl-S68M-S68M-100CM  SCSI-68 (Male) to SCSI-68M (Male) cable, for MezIO DIO card and TB-10, Leng...","08/13/2025",5,0,5,110.00,110.00
,"07/25/2025","POD-251062","Cognex Corporation","Neousys Technology Incorp.","Cbl-S68M-S68M-100CM  SCSI-68 (Male) to SCSI-68M (Male) cable, for MezIO DIO card and TB-10, Leng...","12/24/2025",5,0,5,110.00,110.00
"Total Cbl-S68M-S68M-100CM",,,,,,,10,0,10,220.00,220.00
"Cbl-W10F-2M12A8F-40CM-IK-COM",,,,,,,,,,,
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-W10F-2M12A8F-40CM-IK-COM  Wafer 10P to M12 A-Code 8P (Female) for Innodisk COM port module, ...","09/03/2025",1,0,1,19.00,19.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"Cbl-W10F-2M12A8F-40CM-IK-COM  Wafer 10P to M12 A-Code 8P (Female) for Innodisk COM port module, ...","09/10/2025",2,0,2,38.00,38.00
"Total Cbl-W10F-2M12A8F-40CM-IK-COM",,,,,,,3,0,3,57.00,57.00
"Cbl-W20F-2M12A10F-40CM-IK-COM",,,,,,,,,,,
,"09/04/2025","POD-251261","Carnegie Robotics LLC","Neousys Technology Incorp.","Cbl-W20F-2M12A10F-40CM-IK-COM  M12 internal cable from EMP2-X203-W1 to rear panel, included two ...","10/08/2025",3,0,3,99.00,99.00
"Total Cbl-W20F-2M12A10F-40CM-IK-COM",,,,,,,3,0,3,99.00,99.00
"Cbl-W20F-M12A10F-40CM-IK-COM",,,,,,,,,,,
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","Cbl-W20F-M12A10F-40CM-IK-COM  Wafer 20P to M12 A-Code 10P (Female) for Innodisk COM port module,...","09/24/2025",1,0,1,12.00,12.00
"Total Cbl-W20F-M12A10F-40CM-IK-COM",,,,,,,1,0,1,12.00,12.00
"Cbl-W210F-W210F-100CM1",,,,,,,,,,,
,"08/28/2025","POD-251232","CoastIPC, Inc.","Neousys Technology Incorp.","Cbl-W210F-W210F-100CM1  Remote on/off Cable or Remote control cable, 2x5 Pin female wafer to 2x5...","09/18/2025",20,0,20,80.00,80.00
"Total Cbl-W210F-W210F-100CM1",,,,,,,20,0,20,80.00,80.00
"Cbl-W40M-M12A8F-40CM-IK-DIO1",,,,,,,,,,,
,"07/31/2025","POD-251094","Rheinmetall Canada Inc.","Neousys Technology Incorp.","Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/17/2025",1,0,1,8.00,8.00
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/03/2025",1,0,1,8.00,8.00
,"08/20/2025","POD-251188","Centre de technologies avancées BRP- CTA","Neousys Technology Incorp.","Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/17/2025",1,0,1,8.00,8.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"Cbl-W40M-M12A8F-40CM-IK-DIO1  Wafer 40P to M12 A-Code 8P (Female) for Innodisk DIO module, Lengt...","09/10/2025",2,0,2,16.00,16.00
"Total Cbl-W40M-M12A8F-40CM-IK-DIO1",,,,,,,5,0,5,40.00,40.00
"Cbl-W5M-M12A5F-40CM-PK-CANFD-TP",,,,,,,,,,,
,"09/04/2025","POD-251261","Carnegie Robotics LLC","Neousys Technology Incorp.","Cbl-W5M-M12A5F-40CM-PK-CANFD-TP  Wafer 5P to M12 A-Code 5P (Female) of twisted pair for Peak CAN...","10/08/2025",12,0,12,192.00,192.00
"Total Cbl-W5M-M12A5F-40CM-PK-CANFD-TP",,,,,,,12,0,12,192.00,192.00
"Cbl-W5M-M12A5M-40CM-PK-CANFD-TP",,,,,,,,,,,
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","Cbl-W5M-M12A5M-40CM-PK-CANFD-TP  Wafer 5P to M12 A-Code 5P (Male) of twisted pair for Peak CAN-F...","09/24/2025",4,0,4,64.00,64.00
"Total Cbl-W5M-M12A5M-40CM-PK-CANFD-TP",,,,,,,4,0,4,64.00,64.00
"DtC-M12-WP",,,,,,,,,,,
,"07/31/2025","POD-251094","Rheinmetall Canada Inc.","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","09/17/2025",1,0,1,2.00,2.00
,"08/14/2025","POD-251157","Near Earth Autonomy","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","09/03/2025",3,0,3,6.00,6.00
